imputer,scaler,reducer,n_neighbors,weights,metric,algorithm,leaf_size,p,feature_set,status,error,cv_accuracy_mean,cv_accuracy_std,cv_macro_precision_mean,cv_macro_precision_std,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_weighted_f1_std,random_cv_accuracy_mean,random_cv_accuracy_std,random_cv_macro_precision_mean,random_cv_macro_precision_std,random_cv_macro_f1_mean,random_cv_macro_f1_std,random_cv_weighted_f1_mean,random_cv_weighted_f1_std,stratified_cv_accuracy_mean,stratified_cv_accuracy_std,stratified_cv_macro_precision_mean,stratified_cv_macro_precision_std,stratified_cv_macro_f1_mean,stratified_cv_macro_f1_std,stratified_cv_weighted_f1_mean,stratified_cv_weighted_f1_std,domain_cv_accuracy_mean,domain_cv_macro_precision_mean,domain_cv_macro_f1_mean,domain_cv_weighted_f1_mean,domain_cv_accuracy_std,domain_cv_macro_precision_std,domain_cv_macro_f1_std,domain_cv_weighted_f1_std,worst_domain_accuracy,worst_domain_macro_precision,worst_domain_macro_f1,worst_domain_weighted_f1,random_cv_scenario,domain_cv_scenario,feature_family,preprocessing,knn_params,stage,feature_dimension,feature_count,cache_path
median,standard,{'type': 'none'},5,uniform,minkowski,auto,30,2,lowfreq_all_plus_waveform_spectral,ok,,0.5321853767669724,0.34458545632740967,0.23886533731093315,0.1555182306599691,0.2232184343243008,0.13762477614115895,0.5784652651216166,0.40768567163313607,0.8039999999999999,0.008602325267042613,0.8086964493341622,0.008356932539207081,0.8054652960272678,0.008686580697380744,0.8054652960272678,0.008686580697380736,0.8039999999999999,0.008602325267042613,0.8086964493341622,0.008356932539207081,0.8054652960272678,0.008686580697380744,0.8054652960272678,0.008686580697380736,0.5321853767669724,0.23886533731093315,0.2232184343243008,0.5784652651216166,0.34458545632740967,0.1555182306599691,0.13762477614115895,0.40768567163313607,0.05887894488930758,0.019626314963102527,0.037069988137603795,0.006547925365803779,stratified_kfold,leave_one_domain_out,lowfreq_all_plus_waveform_spectral,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""standard""}","{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,277,277,outputs/cache/features/7b/7bf5840dfd3364c6796e8ce2995b58db491d67d3.joblib
median,standard,{'type': 'none'},5,uniform,minkowski,auto,30,2,class_region_lowfreq_features,ok,,0.2894550981650764,0.25694104228465514,0.2296980340259828,0.14854753881382346,0.13207936829387174,0.09516036588012215,0.3555428355684224,0.3235809610546915,0.7750000000000001,0.009775252199076765,0.7782532134346696,0.00853939405996327,0.7760742402964691,0.009580555514429752,0.776074240296469,0.009580555514429816,0.7750000000000001,0.009775252199076765,0.7782532134346696,0.00853939405996327,0.7760742402964691,0.009580555514429752,0.776074240296469,0.009580555514429816,0.2894550981650764,0.2296980340259828,0.13207936829387174,0.3555428355684224,0.25694104228465514,0.14854753881382346,0.09516036588012215,0.3235809610546915,0.05887894488930758,0.019626314963102527,0.037069988137603795,0.006547925365803779,stratified_kfold,leave_one_domain_out,class_region_lowfreq_features,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""standard""}","{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,38,38,outputs/cache/features/cb/cb7c727889a3b03080fb7957ccdfffd17cdee7ab.joblib
median,standard,{'type': 'none'},5,uniform,minkowski,auto,30,2,notebook_lowfreq_band_features,ok,,0.45041537067349235,0.38827536862229417,0.28502985791634833,0.19932781251234857,0.23140019588402638,0.19317044449688967,0.4896802371177544,0.4015437659902191,0.76,0.011205157542647748,0.7668291480947083,0.010863538658024122,0.7624539393336855,0.010947450360973483,0.7624539393336855,0.010947450360973401,0.76,0.011205157542647748,0.7668291480947083,0.010863538658024122,0.7624539393336855,0.010947450360973483,0.7624539393336855,0.010947450360973401,0.45041537067349235,0.28502985791634833,0.23140019588402638,0.4896802371177544,0.38827536862229417,0.19932781251234857,0.19317044449688967,0.4015437659902191,0.05887894488930758,0.019626314963102527,0.037069988137603795,0.006547925365803779,stratified_kfold,leave_one_domain_out,notebook_lowfreq_band_features,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""standard""}","{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,68,68,outputs/cache/features/ee/eed44f71e7935530fc0bf01cfc40db538076b7a3.joblib
median,standard,{'type': 'none'},5,uniform,minkowski,auto,30,2,notebook_exact_44_plus_regions,ok,,0.38643632824888674,0.3204446598735544,0.2859186037886601,0.19955651212904096,0.21402214325602442,0.1742240016130858,0.4469992414638429,0.3656947333524827,0.7593333333333334,0.01481740718059525,0.7645734081728529,0.01626521600764965,0.7611906287783646,0.014806316962467883,0.7611906287783645,0.014806316962467819,0.7593333333333334,0.01481740718059525,0.7645734081728529,0.01626521600764965,0.7611906287783646,0.014806316962467883,0.7611906287783645,0.014806316962467819,0.38643632824888674,0.2859186037886601,0.21402214325602442,0.4469992414638429,0.3204446598735544,0.19955651212904096,0.1742240016130858,0.3656947333524827,0.05887894488930758,0.019626314963102527,0.037069988137603795,0.006547925365803779,stratified_kfold,leave_one_domain_out,notebook_exact_44_plus_regions,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""standard""}","{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,82,82,outputs/cache/features/6a/6a96df47a7e268a7b949c42df6167ffc5bb3adad.joblib
median,standard,{'type': 'none'},5,uniform,minkowski,auto,30,2,lowfreq_all,ok,,0.3732779077588111,0.3734326357495078,0.28484030951541356,0.19928002799370917,0.20183761762659905,0.1932930377728978,0.40954971102884413,0.39510121408087917,0.748,0.01071862346054234,0.7575694743993406,0.012954721153205624,0.7505856732247338,0.01144888722170402,0.7505856732247338,0.011448887221703997,0.748,0.01071862346054234,0.7575694743993406,0.012954721153205624,0.7505856732247338,0.01144888722170402,0.7505856732247338,0.011448887221703997,0.3732779077588111,0.28484030951541356,0.20183761762659905,0.40954971102884413,0.3734326357495078,0.19928002799370917,0.1932930377728978,0.39510121408087917,0.05887894488930758,0.019626314963102527,0.037069988137603795,0.006547925365803779,stratified_kfold,leave_one_domain_out,lowfreq_all,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""standard""}","{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,216,216,outputs/cache/features/b7/b774367ffe67f912df162ed690860bfdb12611ec.joblib
median,standard,{'type': 'none'},5,uniform,minkowski,auto,30,2,notebook_exact_44_plus_duration,ok,,0.4362954789576284,0.3757594787733737,0.2859419427816992,0.19956262105375308,0.22900415416008127,0.18947916007547777,0.479806667428102,0.395160647089059,0.7303333333333334,0.013474255287605156,0.7373576205405209,0.01536221456717207,0.7327186213889003,0.013985169478029162,0.7327186213889003,0.01398516947802918,0.7303333333333334,0.013474255287605156,0.7373576205405209,0.01536221456717207,0.7327186213889003,0.013985169478029162,0.7327186213889003,0.01398516947802918,0.4362954789576284,0.2859419427816992,0.22900415416008127,0.479806667428102,0.3757594787733737,0.19956262105375308,0.18947916007547777,0.395160647089059,0.05887894488930758,0.019626314963102527,0.037069988137603795,0.006547925365803779,stratified_kfold,leave_one_domain_out,notebook_exact_44_plus_duration,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""standard""}","{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,45,45,outputs/cache/features/75/75dc0e6d27e333f1614005c69583a0e33be6ad28.joblib
median,standard,{'type': 'none'},5,uniform,minkowski,auto,30,2,notebook_exact_26,ok,,0.4573179848762954,0.37475321195628725,0.28545948390507975,0.1994374112280987,0.2356624111885246,0.18883504971984436,0.5016473926664152,0.39726448065050834,0.7253333333333333,0.010873004286866727,0.7425035214009204,0.01088944728018286,0.7296864109001906,0.010688908287418225,0.7296864109001906,0.01068890828741819,0.7253333333333333,0.010873004286866727,0.7425035214009204,0.01088944728018286,0.7296864109001906,0.010688908287418225,0.7296864109001906,0.01068890828741819,0.4573179848762954,0.28545948390507975,0.2356624111885246,0.5016473926664152,0.37475321195628725,0.1994374112280987,0.18883504971984436,0.39726448065050834,0.05887894488930758,0.019626314963102527,0.037069988137603795,0.006547925365803779,stratified_kfold,leave_one_domain_out,notebook_exact_26,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""standard""}","{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,26,26,outputs/cache/features/f7/f781edcc37428b9b9d6be46a7d70086b564b0142.joblib
median,standard,{'type': 'none'},5,uniform,minkowski,auto,30,2,lowfreq_relative_temporal,ok,,0.23888171168860625,0.2640639548389932,0.2291773796675852,0.14817584242342038,0.10667021629567745,0.10362993155994882,0.2825812215602817,0.3386208790041706,0.7246666666666667,0.010402991022884809,0.7402614174658293,0.010076032441822699,0.7282851382976583,0.010651541639353454,0.7282851382976584,0.010651541639353487,0.7246666666666667,0.010402991022884809,0.7402614174658293,0.010076032441822699,0.7282851382976583,0.010651541639353454,0.7282851382976584,0.010651541639353487,0.23888171168860625,0.2291773796675852,0.10667021629567745,0.2825812215602817,0.2640639548389932,0.14817584242342038,0.10362993155994882,0.3386208790041706,0.04552129221732746,0.019626314963102527,0.02977610378740322,0.006547925365803779,stratified_kfold,leave_one_domain_out,lowfreq_relative_temporal,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""standard""}","{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,148,148,outputs/cache/features/10/10e09d5f0be62a01d8f006440da2716e222b4223.joblib
median,standard,{'type': 'none'},5,uniform,minkowski,auto,30,2,notebook_exact_44,ok,,0.4414224930525468,0.3768682470007842,0.28506062350621936,0.1993356013376811,0.22925301341610924,0.19015632606846353,0.4852842148733689,0.39608014146745607,0.7236666666666667,0.015033296378372923,0.7314758626874132,0.016106556865765932,0.7260376531533146,0.015191083575845556,0.7260376531533146,0.015191083575845596,0.7236666666666667,0.015033296378372923,0.7314758626874132,0.016106556865765932,0.7260376531533146,0.015191083575845556,0.7260376531533146,0.015191083575845596,0.4414224930525468,0.28506062350621936,0.22925301341610924,0.4852842148733689,0.3768682470007842,0.1993356013376811,0.19015632606846353,0.39608014146745607,0.05887894488930758,0.019626314963102527,0.037069988137603795,0.006547925365803779,stratified_kfold,leave_one_domain_out,notebook_exact_44,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""standard""}","{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,44,44,outputs/cache/features/6d/6da1a44bcf127f12a9483e43bad65b7fbf4adc20.joblib
median,standard,{'type': 'none'},5,uniform,minkowski,auto,30,2,notebook_exact_44_noclip,ok,,0.4414224930525468,0.3768682470007842,0.28506062350621936,0.1993356013376811,0.22925301341610924,0.19015632606846353,0.4852842148733689,0.39608014146745607,0.7236666666666667,0.015033296378372923,0.7314758626874132,0.016106556865765932,0.7260376531533146,0.015191083575845556,0.7260376531533146,0.015191083575845596,0.7236666666666667,0.015033296378372923,0.7314758626874132,0.016106556865765932,0.7260376531533146,0.015191083575845556,0.7260376531533146,0.015191083575845596,0.4414224930525468,0.28506062350621936,0.22925301341610924,0.4852842148733689,0.3768682470007842,0.1993356013376811,0.19015632606846353,0.39608014146745607,0.05887894488930758,0.019626314963102527,0.037069988137603795,0.006547925365803779,stratified_kfold,leave_one_domain_out,notebook_exact_44_noclip,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""standard""}","{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,44,44,outputs/cache/features/ac/ac41fb0018dab9294b0decdbde469560b76e87b6.joblib
median,standard,{'type': 'none'},5,uniform,minkowski,auto,30,2,notebook_exact_44_dynrange,ok,,0.4414224930525468,0.3768682470007842,0.28506062350621936,0.1993356013376811,0.22925301341610924,0.19015632606846353,0.4852842148733689,0.39608014146745607,0.7236666666666667,0.015033296378372923,0.7314758626874132,0.016106556865765932,0.7260376531533146,0.015191083575845556,0.7260376531533146,0.015191083575845596,0.7236666666666667,0.015033296378372923,0.7314758626874132,0.016106556865765932,0.7260376531533146,0.015191083575845556,0.7260376531533146,0.015191083575845596,0.4414224930525468,0.28506062350621936,0.22925301341610924,0.4852842148733689,0.3768682470007842,0.1993356013376811,0.19015632606846353,0.39608014146745607,0.05887894488930758,0.019626314963102527,0.037069988137603795,0.006547925365803779,stratified_kfold,leave_one_domain_out,notebook_exact_44_dynrange,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""standard""}","{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,44,44,outputs/cache/features/2c/2c9d96c7966fc3147685d39b6587fd5449c11b99.joblib
median,standard,{'type': 'none'},5,uniform,minkowski,auto,30,2,relative_lowfreq_shape_features,ok,,0.2501396656778378,0.25618268850522435,0.22921876938215666,0.14820529090161894,0.11345790407146604,0.09893149989158057,0.30263951811611894,0.3277349279039605,0.7223333333333333,0.004422166387140555,0.7329373926516012,0.0017851150421941612,0.7248113926909576,0.0037306018665204275,0.7248113926909577,0.0037306018665204115,0.7223333333333333,0.004422166387140555,0.7329373926516012,0.0017851150421941612,0.7248113926909576,0.0037306018665204275,0.7248113926909577,0.0037306018665204115,0.2501396656778378,0.22921876938215666,0.11345790407146604,0.30263951811611894,0.25618268850522435,0.14820529090161894,0.09893149989158057,0.3277349279039605,0.05887894488930758,0.019626314963102527,0.037069988137603795,0.006547925365803779,stratified_kfold,leave_one_domain_out,relative_lowfreq_shape_features,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""standard""}","{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,107,107,outputs/cache/features/af/aff8f2f061e733f39d643e098c20322e5cc4deaf.joblib
median,standard,{'type': 'none'},5,uniform,minkowski,auto,30,2,temporal_lowfreq_shape_features,ok,,0.08316582768449064,0.03867848878891195,0.2292361365989299,0.14821765269107123,0.05079897326713136,0.02117942002719885,0.11460560124504197,0.09716736869342106,0.4023333333333333,0.007859884081701053,0.4134801603548923,0.012744104989082235,0.40207652078568135,0.008592751891015875,0.40207652078568135,0.008592751891015877,0.4023333333333333,0.007859884081701053,0.4134801603548923,0.012744104989082235,0.40207652078568135,0.008592751891015875,0.40207652078568135,0.008592751891015877,0.08316582768449064,0.2292361365989299,0.05079897326713136,0.11460560124504197,0.03867848878891195,0.14821765269107123,0.02117942002719885,0.09716736869342106,0.05286343612334802,0.019626314963102527,0.03460944287455263,0.006547925365803779,stratified_kfold,leave_one_domain_out,temporal_lowfreq_shape_features,"{""imputer"": ""median"", ""reducer"": {""type"": ""none""}, ""scaler"": ""standard""}","{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",notebook_feature_ablation,41,41,outputs/cache/features/6c/6c85295432b3e14060dc5a042278043b7b20623f.joblib
